Razao Social,CNPJ,Residuos,Custos
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
666Indústria,CNPJ: 12312312312312,Residuos KG: 55.10,Custos R$: 666.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
Indústria,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
testet,CNPJ: 12312312312345,Residuos KG: 0.00,Custos R$: 0.00
test44,CNPJ: 12312312312312,Residuos KG: 0.00,Custos R$: 0.00
Razao social,CNPJ: 01250414000131,Residuos KG: 0.00,Custos R$: 0.00

TOTAL DE RESIDUOS TRATADOS EM KG: 55.10
TOTAL DE CUSTOS EM R$: 666.00

GreenFlow-2024
